Language, Program, PowerLimit, PSys, Package, Core, GPU, DRAM, Time(ms), User Time, System Time, Temperature, Memory, Perf
C, mandelbrot, -1,  36.70, 23.49, 23.21, 0.00, 0.48, 944, 3758, 14, 44.0, , 1
C, mandelbrot, -1,  36.59, 23.48, 23.19, 0.00, 0.48, 945, 3759, 15, 37.5, , 1
C, mandelbrot, -1,  36.76, 23.45, 23.16, 0.00, 0.48, 944, 3762, 10, 44.5, , 1
C, n-body, -1,  35.60, 16.64, 16.12, 0.00, 0.87, 1723, 1724, 1724, 39.5, , 1
C, n-body, -1,  35.50, 16.60, 16.09, 0.00, 0.87, 1723, 1722, 1, 40.0, , 1
C, n-body, -1,  35.23, 16.62, 16.11, 0.00, 0.87, 1722, 1721, 0, 39.8, , 1
C, n-body, -1,  35.30, 16.42, 15.90, 0.00, 0.87, 1722, 1721, 0, 40.0, , 1
C, n-body, -1,  35.21, 16.64, 16.13, 0.00, 0.87, 1722, 1722, 1, 39.5, , 1
C, n-body, -1,  35.25, 16.61, 16.10, 0.00, 0.87, 1722, 1721, 0, 39.5, , 1
C, n-body, -1,  35.30, 16.67, 16.16, 0.00, 0.87, 1723, 1723, 1723, 39.5, , 1
C, n-body, -1,  35.31, 16.64, 16.12, 0.00, 0.87, 1722, 1723, 1723, 39.2, , 1
C, n-body, -1,  35.31, 16.69, 16.17, 0.00, 0.87, 1723, 1722, 0, 39.8, , 1
C, n-body, -1,  35.18, 16.66, 16.15, 0.00, 0.87, 1722, 1722, 1722, 39.5, , 1
C, n-body, -1,  35.13, 16.68, 16.16, 0.00, 0.87, 1723, 1722, 0, 39.2, , 1
C, n-body, -1,  35.15, 16.66, 16.14, 0.00, 0.87, 1722, 1721, 0, 39.2, , 1
C, n-body, -1,  35.41, 16.72, 16.20, 0.00, 0.87, 1723, 1722, 1, 39.0, , 1
C, n-body, -1,  35.59, 16.62, 16.11, 0.00, 0.87, 1724, 1723, 1, 38.5, , 1
C, n-body, -1,  35.32, 16.63, 16.10, 0.00, 0.87, 1724, 1723, 1723, 39.0, , 1
C, n-body, -1,  35.34, 16.67, 16.16, 0.00, 0.87, 1722, 1722, 1722, 38.0, , 1
C, n-body, -1,  35.28, 16.66, 16.14, 0.00, 0.87, 1723, 1722, 1, 39.2, , 1
C, n-body, -1,  35.11, 16.61, 16.10, 0.00, 0.87, 1722, 1720, 1, 38.8, , 1
C, n-body, -1,  35.18, 16.66, 16.15, 0.00, 0.87, 1722, 1721, 0, 38.2, , 1
C, n-body, -1,  35.27, 16.64, 16.11, 0.00, 0.87, 1722, 1721, 0, 38.8, , 1
C, regex-redux, -1,  23.31, 13.96, 13.73, 0.00, 0.58, 696, 1763, 78, 35.8, , 1
C, regex-redux, -1,  23.28, 13.94, 13.72, 0.00, 0.58, 705, 1760, 88, 39.8, , 1
C, regex-redux, -1,  23.32, 13.99, 13.78, 0.00, 0.57, 695, 1763, 75, 36.5, , 1
C, regex-redux, -1,  23.84, 14.22, 14.00, 0.00, 0.59, 713, 1774, 82, 39.8, , 1
C, regex-redux, -1,  23.37, 14.01, 13.79, 0.00, 0.58, 698, 1760, 81, 36.0, , 1
C, regex-redux, -1,  23.44, 14.12, 13.89, 0.00, 0.58, 696, 1758, 82, 40.0, , 1
C, regex-redux, -1,  23.23, 13.99, 13.78, 0.00, 0.57, 696, 1745, 86, 36.2, , 1
C, regex-redux, -1,  23.31, 14.09, 13.88, 0.00, 0.58, 695, 1754, 85, 40.0, , 1
C, regex-redux, -1,  23.34, 14.10, 13.88, 0.00, 0.58, 695, 1763, 76, 36.5, , 1
C, regex-redux, -1,  23.22, 14.01, 13.80, 0.00, 0.58, 696, 1757, 83, 40.0, , 1
C, regex-redux, -1,  23.20, 13.94, 13.73, 0.00, 0.58, 694, 1761, 77, 36.0, , 1
C, regex-redux, -1,  23.37, 14.02, 13.81, 0.00, 0.57, 695, 1762, 77, 40.8, , 1
C, regex-redux, -1,  23.48, 14.11, 13.90, 0.00, 0.58, 696, 1755, 85, 36.5, , 1
C, regex-redux, -1,  23.45, 13.99, 13.78, 0.00, 0.58, 696, 1760, 78, 40.2, , 1
